,Kursus id,Engelsk titel,Dansk titel,Point( ECTS ),Kursustype,Undervisningens placering,Anbefalede forudsætninger,Kursusansvarlig,Institut,Link
734,28857,"Good Manufacturing Practice (GMP) and quality inpharmaceutical, biotech and food industry - Practicalversion","GMP og kvalitet i farmaceutisk, biotek og fødevareindustri -Praktísk version","7,5","Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Bioteknologi_Generel retningskompetence, kandidatuddannelsen,Kemisk og Biokemisk Teknologi_Teknologisk specialisering, kandidatuddannelsen Anvendt Kemi_Teknologisk specialisering, kandidatuddannelsen, Fødevareteknologi _Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik",Campus Lyngby,", B.Sc. samt kursus i procesteknik, f.eks. 28020, 28022, 27022,evt. 27032",Ulrich Krühne,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28857
735,28864,Introduction to Matlab programming,Introduktion til Matlab programmering,1,Kandidat,"Campus Lyngby Undervisning i de første 5 uger af semestret, på tirsdage frakl. 17:15 til kl. 19:15.",,Krist V. Gernaey,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28864
736,28870,Energy and Sustainability,Energi og bæredygtighed,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen,Bygningsdesign_Generel retningskompetence, kandidatuddannelsen,Bæredygtig Energi",Campus Lyngby,", Kendskab til udbredte energiteknologier og relevante kriterierindenfor livscyklusanalyse ogbæredygtighedsanalyse",Irini Angelidaki,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28870
737,28871,Production of Biofuels,Produktion af biobrændstoffer,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Bæredygtig Energi_Teknologisk specialisering, kandidatuddannelsen,Bæredygtig Energi_Teknologisk specialisering, kandidatuddannelsen,Kemisk og Biokemisk Teknologi_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business",Campus Lyngby,"27034,28025,28872,  /, /, , eller tilsvarende",Hariklia N. Gavala,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28871
738,28872,Biorefinery,Bioraffinaderi,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Bæredygtig Energi_Teknologisk specialisering, kandidatuddannelsen,Bæredygtig Energi_Teknologisk specialisering, kandidatuddannelsen,Kemisk og Biokemisk Teknologi_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business",Campus Lyngby,"27002,  , eller tilsvarende",Manuel Pinelo,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28872
739,28885,Technology and Economy in Oil and Gas Production,Teknologi og økonomi i olie- og gasproduktion,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen,Olie- og Gasteknik_Tilvalgskurser, Diplomingeniørretning, Kemi- og bioteknik_Tilvalgskurser, Diplomingeniørretning, Kemiteknik og International Business",Campus Lyngby,", Fysik 1",Nicolas von Solms,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28885
740,28905,Advanced Topics in Process Systems Engineering,Avancerede emner indenfor Process SystemsEngineering,"7,5","Ph.d., Fagligt fokuseret kursus_Kurset udbydes som enkeltfag",Campus Lyngby,", Diplom- og/eller civilingeniøruddannelse i kemi",Gürkan Sin,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28905
741,28908,Rheology of complex fluids (heavy),Reologi af væsker med mikrostruktur (udvidet),"7,5","Ph.d., Fagligt fokuseret kursus_Kurset udbydes som enkeltfag",Campus Lyngby,", Grundlæggende strømningslære svarende til kursus 28530.Programmeringserfaring svarende til kursus 28864 Introduktion tilMatlab programmering.",Peter Szabo,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28908
742,28909,"Thermodynamic Models, Fundamentals and ComputationalAspects",Fundamentale og beregningsmæssige aspekter ved termodynamiskemodeller,"7,5","Ph.d., Fagligt fokuseret kursus_Kurset udbydes som enkeltfag",Campus Lyngby,", Teknisk termodynamik og programmeringserfaring iFortran",Georgios Kontogeorgis,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28909
743,28917,Statistical Thermodynamics for Chemical Engineering,Statistical Thermodynamics for ChemicalEngineering,5,"Ph.d., Faglig identitetskursus",Campus Lyngby,", Se engelsk version.",Nicolas von Solms,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28917
744,28923,Uncertainty and Sensitivity Analysis of NumericalModels,Usikkerhed og sensitivitetsanalyse af numeriskemodeller,"7,5","Ph.d., Fagligt fokuseret kursus_Kurset udbydes som enkeltfag",Campus Lyngby,", A basic and working knowledge of statistical concepts andmodelling are required. A basic and working knowledge of Matlabprogramming is required.",Gürkan Sin,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28923
745,28927,Advanced Topics in Process Technology,Avancerede emner indenfor procesteknologi,"7,5","Ph.d., Fagligt fokuseret kursus",Campus Lyngby,", se den engelske beskrivelse",John Michael Woodley,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28927
746,28928,Electrolyte Solution Thermodynamics,Elektrolytopløsningers termodynamik,"7,5","Ph.d., Faglig identitetskursus_Kurset udbydes som enkeltfag",Campus Lyngby,", MSc Chemical Engineering. Godt kendskab til og interesse forkemisk termodynamik",Georgios Kontogeorgis,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28928
747,28930,Advances in Chemical and Biochemical Engineering,Advances in Chemical and Biochemical Engineering,"2,5","Ph.d., Generelt servicekursus (generiske færdigheder)_Kurset udbydes som enkeltfag",Campus Lyngby,,Ioannis Vassilios Skiadas,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28930
748,28932,Process Engineering Laboratory,Procestekniske øvelser i pilot plant,"7,5","Ph.d., Faglig identitetskursus",Campus Lyngby,", Grundlæggende teoretisk viden om procesteknik ogenhedsoperationer",Martin Høj,28 Institut forKemiteknik,https://kurser.dtu.dk/course/28932
749,88700,Industrial Reaction Engineering,Industriel reaktionsteknik,"7,5",Kandidat,Kurset udbydes i Kina,,Kim Allan Dam-Johansen,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88700
750,88701,Transport Processes,Transportprocesser,10,Kandidat,"I Beijing, Kina med online undervisning fra DTULyngby.",", Se den engelske version",Peter Szabo,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88701
751,88703,Laboratory Experiments,Laboratory Experiments,5,Kandidat,se den engelske version,,Weigang Lin,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88703
752,88704,Progress in Research,Progress in Research,5,Kandidat,se den engelske note,,Kim Allan Dam-Johansen,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88704
753,88705,Process Design - Principles & Methods,Process Design - Principles & Methods,10,Kandidat,Kurset udbydes i Kina,,Jakob Kjøbsted Huusom,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88705
754,88708,Green Chemical Engineering,Green Chemical Engineering,5,Kandidat,se den engelske version,,Xingmei Lyu,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88708
755,88709,Fluidization and Multiphase Flow,Fluidization and Multiphase Flow,5,Kandidat,se den engelske version,,Weigang Lin,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88709
756,88710,Combustion and High Temperature Processes,Combustion and High Temperature Processes,5,Kandidat,se den engelske version,,Peter Glarborg,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88710
757,88711,Industrial BioReaction Engineering,Industriel Bioreaktion,5,Kandidat,se den engelske version,,John Michael Woodley,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88711
758,88713,SDC Green Challenge,SDC Green Challenge,5,Kandidat,se den engelske version,,Hao Wu,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88713
759,88714,SDC Summer School in Unit Operations,SDC Summer School in Unit Operations,5,Kandidat,se den engelske version,", See English version.",Hao Wu,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88714
760,88715,Bioerefinery,Bioraffinaderi,5,Kandidat,Kurset udbydes i Kina,,Manuel Pinelo,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88715
761,88717,SDC Research Immersion,SDC Research Immersion,5,Kandidat,SDC kursus tages i Kina,,Hao Wu,28 Institut forKemiteknik,https://kurser.dtu.dk/course/88717
762,29900,Bioengineering and Critical Thinking,Bioengineering and Critical Thinking,"2,5","Ph.d., Fagligt fokuseret kursus","Campus Lyngby Technical University of Denmark, 2800 KongensLyngby",,Morten Helge Hauberg Nørholm,29 DTU Biosustain,https://kurser.dtu.dk/course/29900
763,30010,Programming Project,Programmeringsprojekt,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Elektroteknologi",Campus Lyngby,"02101,02102, ., , Kendskab til   programmeringsprincipper svarende til 02102 eller   02101.",José M.G. Merayo,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30010
764,30015,Basic electronics for instrumentation,Indledende elektronik til instrumentering,5,"Bachelor_Teknologisk linjefag, Geofysik og Rumteknologi",Campus Lyngby,,Sten Schmidl Søbjærg,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30015
765,30020,Electronic Measurements and Instrumentation,Elektronisk måling og instrumentering,5,"Bachelor_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"31001,30032,10036,31400,30400, /,.­,/,/, , Grundlæggende kendskab til   elektroniske kredse og komponenter samt   matlab.",Peter Brauer,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30020
766,30021,Digital Instrumentation,Digital instrumentering,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"30010,  , Noget erfaring med C programmeringel.lign. og et grundlæggende kendskab til mikroprocessoren ogdennes interfacing til periferikredse.",José M.G. Merayo,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30021
767,30032,Electrotechnics,Elektroteknik,10,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Elektroteknologi",Campus Ballerup,,Sten Schmidl Søbjærg,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30032
768,30035,Engineering Electromagnetics,Anvendt elektromagnetisme,10,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Elektroteknologi",Campus Lyngby,"01901,01920,30032,62732,62735, .­,.­,.­,.­, , Basismat 1 - Indledende matematik   for diplomingeniører, Basismat 2 - Videregående matematik for   diplomingeniører, Elektroteknik, Analog elektronik, Videregående   Matematik for Diplom Elektroteknologi",Michael Mattes,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30035
769,30081,Digital Engineering,Digitalteknik,5,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Elektroteknologi",Campus Ballerup,"30032,31033, .",Peter Brauer,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30081
770,30082,Project work in Digital design,Projektarbejde i Digitaldesign,5,"Diplomingeniør_Kurset udbydes som enkeltfag_Obligatorisk kursus, Diplomingeniørretning Elektroteknologi",Campus Ballerup,"30081,62734, .",Peter Brauer,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30082
771,30100,Engineering Practices - Earth and Space Physics andEngineering,Ingeniørarbejde - Geofysik og Rumteknologi,10,"Bachelor_Projekter og almene fag, BSc i Geofysik & Rumteknologi",Campus Lyngby,,René Fléron,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30100
772,30110,Project work - Earth and Space Physics andEngineering,Fagprojekt - Geofysik og Rumteknologi,10,"Bachelor_Projekter og almene fag, BSc i Geofysik & Rumteknologi",Campus Lyngby,", Kurser svarende til indholdet af de obligatoriske, anbefaledekurser på de første tre semestre af bacheloruddannelsen Geofysik ogRumteknologi.",Allan Poulsen Hornstrup,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30110
773,30111,Engineering practices - Electrotechnology,Ingeniørarbejde - Elektroteknologi,5,"Bachelor_Projekter og almene fag, BSc i Elektroteknologi",Campus Lyngby,,Kaj Bjarne Jakobsen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30111
774,30120,Astrophysics,Astrofysik,5,"Bachelor_Teknologisk linjefag, Geofysik og Rumteknologi",Campus Lyngby,"10033,  , 01005 (Matematik 1) kan følgessideløbende.",Jérôme Chenevez,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30120
775,30131,Geo- and Planetary Physics I,Geo- og planetfysik I,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Geofysik og Rumteknologi",Campus Lyngby,"10033,10034, .",Arne Døssing Andreasen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30131
776,30142,Geo- and Planetary Physics ll,Geo- og planetfysik ll,5,Bachelor_Kurset udbydes som enkeltfag,Campus Lyngby,"10033,10034, .,.",Jens Olaf Pepke Pedersen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30142
777,30150,Mathematical and Numerical Methods in solid EarthPhysics,Matematiske og numeriske metoder i den faste jordsfysik,5,Bachelor_Kurset udbydes som enkeltfag,Campus Lyngby,"01035,30140,30141,30142,30130,30131, .­(,/,/,).­(,/,) , Grundlæggende   Matlab-programmering er vigtig.",Shfaqat Abbas Khan,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30150
778,30160,Continuous and Discrete Time Signals,Signaler i kontinuert og diskret tid,5,"Bachelor_Kurset udbydes som enkeltfag_Teknologisk linjefag, Geofysik og Rumteknologi",Campus Lyngby,"01035,31001,30015,02631,02632,02633, .­,.­,.­(,/,/,)",Jørgen Dall,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30160
779,30202,Measurement Technologies in Earth and Space Physics,Måleteknologi inden for rum- og geofysik,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,", Gennemført kurser svarende til de obligatoriske dele afbacheloruddannelsen i Geofysik ogRumteknologi.",José M.G. Merayo,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30202
780,30220,Synthesis in Earth and Space Physics,Syntese i Rum- og Geofysik,10,"Kandidat_Generel retningskompetence, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"30201,30202,30230, (,/,)., , og minimum ét kursus fra hvert af   de to lister over Teknologiske   specialiseringskurser.",Jérôme Chenevez,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30220
781,30230,Data Analysis and Modeling in Geoscience andAstrophysics,Dataanalyse og -modellering i rum- og geofysik,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Geofysik og Rumteknologi _Teknologisk specialisering, kandidatuddannelsen,Olie- og Gasteknik",Campus Lyngby,"02631,02632,02633,01035, (,/,/,).­",Nils Olsen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30230
782,30300,Introduction to Spacecraft Systems and Design,Introduktion til satellitsystemer,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,", Gennemført de obligatoriske kurser i elektroteknologi-, fysikog nanoteknologi-, matematik og teknologi-, netværksteknologi ogIT- eller Geofysik ogRumteknologi-bachelorstudiet.",David Arge Klevang Pedersen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30300
783,30310,Space Systems Engineering,Rumfarts System Engineering,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Geofysik og Rumteknologi _Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"30300,  , Anbefalet at have fennemført deobligatoriske kurser i elektroteknologi-, fysik og nanoteknologi-,matematik og teknologi-, produktion of konstruktion-,netværksteknologi og IT- eller Geofysik ogRumteknologi-bachelorstudiet.",David Arge Klevang Pedersen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30310
784,30320,Spacecraft Instrumentation Systems,Rumfartsinstrumentering,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"30020,30330, ., , Et solidt kendskab til   elektronisk systemdesign, digitalt el. analogt, er   ønskeligt.",John Leif Jørgensen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30320
785,30330,Image Analysis with Microcomputer,Billedanalyse på mikrocomputer,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"30020,30021, /, , Komplekse tal og funktioner og   mikrodatamatsystemer.",Mathias Benn,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30330
786,30340,Radar and Radiometer Systems,Radar- og radiometersystemer,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi _Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"31405,  , Generel viden om elektronik ogelektroniske systemer, samt nogen viden om højfrekvens- ogmikrobølge teknik. Derudover kendskab tilsignalanalyse.",Sten Schmidl Søbjærg,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30340
787,30350,Remote Sensing,Telemåling,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"31405,30405, /, , Elektromagnetiske bølger,   polarisation. Kendskab til programmering, gerne   MATLAB.",John Peter Merryman Boncori,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30350
788,30400,Electromagnetics,Elektromagnetisme,10,"Bachelor_Kurset udbydes som enkeltfag_Naturvidenskabeligt grundfag, Elektroteknologi_Teknologisk linjefag, Elektroteknologi_Teknologisk linjefag, Geofysik og Rumteknologi",Campus Lyngby,"31001,30015,31003, /,., , Kurset kræver et grundlæggende   kendskab til elektromagnetiske størrelser (ladning, strøm og   felt), matematisk analyse (skalar- og vektorfunktioner af flere   variable samt vektoranalyse) og   kredsløbsteori.",Samel Arslanagic,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30400
789,30405,Wireless communications,Trådløs kommunikation,5,"Bachelor_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"31400,30400,31035,30035,10036,34120,02402,02403,02405, (,/,/,/,/,/,).­(,/,/,) , Kurset kræver grundlæggende   viden inden for elektromagnetisme (Maxwells ligninger, plane   bølger og transmissionslinier), kredsløbsteori, signalbehandling   og sandsynlighedsregning. Et indledende signalbehandlingskursus   kan følges samtidig.",Vitaliy Zhurbenko,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30405
790,30415,RF communication circuits,HF-kommunikationskredsløb,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Kommunikationsteknologier og Systemdesign_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"30405,31405, /, , Trådløs   Kommunikation",Vitaliy Zhurbenko,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30415
791,30417,Antenna and microwave techniques,Antenne- og mikrobølgeteknik,10,Kandidat_Kurset udbydes som enkeltfag,Campus Lyngby,"30405,31405,30400,31400,30035,31035,10036,34120, (,/,).­(,/,/,/,/,/,) , Kurset kræver en grundlæggende   viden inden for elektromagnetisme (Maxwells ligninger, plane   bølger og transmissionslinier) og kredsløbsteori samt kendskab   til trådløse kommunikationssystemer (sendere og modtagere,   RF-kredsløb og antenner, støj, radiobølgers udbredelse, analog   og digital modulation).",Kaj Bjarne Jakobsen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30417
792,30418,Applied microwave techniques,Anvendt mikrobølgeteknik,5,"Kandidat_Kurset udbydes som enkeltfag_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"30417,31417,30405,31405,30400,31400,30035,31035,10036,34120, (,/,).­(,/,).­(,/,/,/,/,/,) , Kendskab til   transmissionsledningsmodeller med tab. Kunne designe   transmissionsledninger fx mikrostrip og stripline; designe og   analysere mikrobølgenetværk ved brug af sprednings- og   transmissionsparametre samt designe impedanstilpasningskredsløb   fx diskrete komponenter, enkelt og dobbelt stub samt   kvartbølgetransformer.",Kaj Bjarne Jakobsen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30418
793,30420,Advanced microwave techniques,Videregående mikrobølgeteknik,10,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"31405,31415,31400,30400,31035,31412,31418, .­,.­,/,.­,.­,.­, , Trådløs kommunikation.   HF-kommunikationskredsløb Elektromagnetisme Kendskab til   halvlederkomponenters opbygning og virkemåde en   fordel",Tom Keinicke Johansen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30420
794,30428,Advanced electromagnetics,Videregående elektromagnetisme,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Kommunikationsteknologier og Systemdesign",Campus Lyngby,"10036,30400,31400, /,/, , Deltagerne skal besidde   forudsætninger i grundlæggende elektromagnetisme svarende til et   typisk bachelorkursus omfattende: elektro- og magnetostatik;   ledere, dielektrika og magnetiske materialer; Maxwell's   ligninger på differential- og integralform; udbredelse af plane   bølger, samt deres refleksion og transmission ved plane   grænseflader. Endvidere skal deltagerne føle sig trygge med:   rektangulære, cirkulære cylindriske og sfæriske   koordinatsystemer i tredimensionelt rum; vektoranalyse med   underliggende gradient-, divergens- og rotations begreber, og de   tilhørende integralsætninger; samt fasor notation for   tids-harmoniske felter.",Samel Arslanagic,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30428
795,30430,Advanced antenna techniques and measurements,Videregående antenneteknik og målinger,10,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Kommunikationsteknologier og Systemdesign_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,"31417,30417,31428,30428, /,.,/, , Kurset kræver viden om   grundlæggende antenneteori og videregående elektromagnetisme som   indeholdt i de to forudsætningskurser eller lignende kurser.   Kurser i anvendt matematik og numeriske metoder.",Michael Mattes,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30430
796,30435,Antenna measurements in radio anechoic chambers,Antennemålinger i radiodøde rum,5,"Kandidat_Kurset udbydes som enkeltfag_Generel retningskompetence, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi",Campus Lyngby,"31430,30430, /, , Kurset kræver en grundig viden om   antenner og radiobølgers udbredelse. Endvidere kræves erfaring   med MATLAB programmering.",Samel Arslanagic,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30435
797,30445,Signal integrity in high-speed electronics,Signalintegritet i højhastighedselektronik,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Elektroteknologi_Teknologisk specialisering, kandidatuddannelsen, Kommunikationsteknologier og Systemdesign_Tilvalgskurser, Diplomingeniørretning, Elektroteknologi",Campus Lyngby,", Kurset kræver kendskab til analog og digital kredsløbsdesign,elektromagnetisme (Maxwells ligninger og transmissionslinjer) oggrundlæggende Fourier og Laplace transformationsmetoder.",Tom Keinicke Johansen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30445
798,30510,"GPS, GIS and Setting out","GPS, GIS og afsætning for civilingeniører",5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi _Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby Størstedelen af kurset afholdes på Landmålervej og iDyrehaven.,"30130,30131,30140,30141,30142, (,/,).­(,/,/,)",Per Knudsen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30510
799,30530,Introduction to GIS,Introduktion til GIS,5,"Bachelor_Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen,Miljøteknologi_Teknologisk specialisering, kandidatuddannelsen,Transport og Logistik_Tilvalgskurser, Diplomingeniørretning Arktisk Byggeri og infrastruktur_Tilvalgskurser, Diplomingeniørretning, Bygningssdesign",Campus Lyngby,"01005,01006,01015, /,/",Tessa Kate Anderson,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30530
800,30539,Advanced GIS,Avanceret GIS,5,"Kandidat_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"30530,30532, .",Tessa Kate Anderson,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30539
801,30540,Mapping from Aerial and Satellite Images,Kortlægning fra fly- og satellitbilleder,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"02502,02504,02501, (,/,/,) , Billedanalyse og Computer   vision.",Daniel Haugård Olesen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30540
802,30545,Analysis of spatial and temporal data withingeoscience,Analyse af rumligt og temporalt data inden forgeovidenskab,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"30201,30202,30230, (,/,)., , Kendskab til   programmering",Karina Østergaard Nielsen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30545
803,30552,Satellite Geodesy,Satellitgeodæsi,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"02402, ",Per Knudsen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30552
804,30554,Global Navigation Satellite Systems,Globale navigationssatellitsystemer,5,"Kandidat_Kurset udbydes som enkeltfag_Teknologisk specialisering, kandidatuddannelsen, Autonome systemer_Teknologisk specialisering, kandidatuddannelsen, Geofysik og Rumteknologi ",Campus Lyngby,"30552, ",Daniel Haugård Olesen,30Institut for Rumforskning og -teknologi,https://kurser.dtu.dk/course/30554
